3-Opponent Starting Hand Analysis

Rank,Opponents,Faces,Type,Card1,Card2,Hash,Label,WinOrDraw,Lose,Total,CoinFlip,WinOrDrawPercent,CoinFlipDeltaPercent
1,3,AA,pair,12,25,649,As Ah,166137511232534,92723898651466,258861409884000,64715352471000,64.18,39.18
2,3,KK,pair,11,24,596,Ks Kh,151710753740920,107150656143080,258861409884000,64715352471000,58.6,33.6
3,3,QQ,pair,10,23,543,Qs Qh,139568691399172,119292718484828,258861409884000,64715352471000,53.91,28.91
4,3,JJ,pair,9,22,490,Js Jh,128451850656614,130409559227386,258861409884000,64715352471000,49.62,24.62
5,3,TT,pair,8,21,437,Ts Th,118286241624392,140575168259608,258861409884000,64715352471000,45.69,20.69
6,3,AK,suited,11,12,584,Ks As,110055897759348,148805512124652,258861409884000,64715352471000,42.51,17.51
7,3,99,pair,7,20,384,9s 9h,107756296844732,151105113039268,258861409884000,64715352471000,41.62,16.62
8,3,AQ,suited,10,12,532,Qs As,106346003632170,152515406251830,258861409884000,64715352471000,41.08,16.08
9,3,AJ,suited,9,12,480,Js As,103121175926943,155740233957057,258861409884000,64715352471000,39.83,14.83
10,3,AK,offsuit,11,25,597,Ks Ah,102674708663959,156186701220041,258861409884000,64715352471000,39.66,14.66
11,3,KQ,suited,10,11,531,Qs Ks,102012392188365,156849017695635,258861409884000,64715352471000,39.4,14.4
12,3,AT,suited,8,12,428,Ts As,100317501361230,158543908522770,258861409884000,64715352471000,38.75,13.75
13,3,KJ,suited,9,11,479,Js Ks,98823918421802,160037491462198,258861409884000,64715352471000,38.17,13.17
14,3,AQ,offsuit,10,25,545,Qs Ah,98649772413806,160211637470194,258861409884000,64715352471000,38.1,13.1
15,3,88,pair,6,19,331,8s 8h,98606357039228,160255052844772,258861409884000,64715352471000,38.09,13.09
16,3,KT,suited,8,11,427,Ts Ks,96092308506670,162769101377330,258861409884000,64715352471000,37.12,12.12
17,3,QJ,suited,9,10,478,Js Qs,95876236363823,162985173520177,258861409884000,64715352471000,37.03,12.03
18,3,AJ,offsuit,9,25,493,Js Ah,95143504867846,163717905016154,258861409884000,64715352471000,36.75,11.75
19,3,KQ,offsuit,10,24,544,Qs Kh,94284692233367,164576717650633,258861409884000,64715352471000,36.42,11.42
20,3,A9,suited,7,12,376,9s As,93648389959509,165213019924491,258861409884000,64715352471000,36.17,11.17
21,3,QT,suited,8,10,426,Ts Qs,93191896596466,165669513287534,258861409884000,64715352471000,36,11
22,3,AT,offsuit,8,25,441,Ts Ah,92089840796591,166771569087409,258861409884000,64715352471000,35.57,10.57
23,3,JT,suited,8,9,425,Ts Js,91525339809948,167336070074052,258861409884000,64715352471000,35.35,10.35
24,3,A8,suited,6,12,324,8s As,91388890746786,167472519137214,258861409884000,64715352471000,35.3,10.3
25,3,KJ,offsuit,9,24,492,Js Kh,90818131066668,168043278817332,258861409884000,64715352471000,35.08,10.08
26,3,77,pair,5,18,278,7s 7h,90344338255820,168517071628180,258861409884000,64715352471000,34.9,9.9
27,3,K9,suited,7,11,375,9s Ks,89373074373384,169488335510616,258861409884000,64715352471000,34.52,9.52
28,3,A7,suited,5,12,272,7s As,88948918259874,169912491624126,258861409884000,64715352471000,34.36,9.36
29,3,QJ,offsuit,9,23,491,Js Qh,87932122478667,170929287405333,258861409884000,64715352471000,33.96,8.96
