hand,1,2,3,4,5
4,8,T6,suited,51.08,34.63,26.76,22.07,18.93
4,9,J6,suited,52.63,35.33,27.01,22.14,18.92
4,10,Q6,suited,55.54,37.71,28.86,23.65,20.19
4,11,K6,suited,58.47,40.29,30.96,25.43,21.77
4,12,A6,suited,61.63,43.19,33.31,27.4,23.5
4,17,66,pair,63.86,43.76,32.05,24.99,20.59
4,18,76,offsuit,44.99,30.4,23.12,18.61,15.62
4,19,86,offsuit,45.78,30.42,22.95,18.39,15.35
4,20,96,offsuit,46.87,30.6,22.81,18.12,15
4,21,T6,offsuit,48.33,31.16,23.03,18.22,15.04
4,22,J6,offsuit,49.97,31.84,23.22,18.21,14.93
4,23,Q6,offsuit,53.05,34.32,25.1,19.71,16.17
4,24,K6,offsuit,56.14,37,27.24,21.5,17.71
4,25,A6,offsuit,59.49,40.03,29.65,23.47,19.42
5,6,87,suited,50.18,35.65,28.28,23.6,20.39
5,7,97,suited,51.24,35.93,28.31,23.56,20.3
5,8,T7,suited,52.62,36.52,28.6,23.75,20.45
5,9,J7,suited,54.19,37.21,28.82,23.77,20.36
5,10,Q7,suited,56.08,38.34,29.46,24.18,20.66
5,11,K7,suited,59.22,41.17,31.77,26.13,22.36
5,12,A7,suited,62.58,44.31,34.36,28.3,24.25
5,18,77,pair,66.74,47,34.9,27.27,22.34
5,19,87,offsuit,47.4,32.33,24.76,20,16.75
5,20,97,offsuit,48.52,32.6,24.75,19.9,16.6
5,21,T7,offsuit,49.98,33.19,25.01,20.05,16.7
5,22,J7,offsuit,51.63,33.86,25.17,19.98,16.5
5,23,Q7,offsuit,53.62,35.01,25.76,20.31,16.7
5,24,K7,offsuit,56.95,37.96,28.13,22.27,18.38
5,25,A7,offsuit,60.51,41.25,30.79,24.46,20.24
6,7,98,suited,52.74,37.74,30.07,25.15,21.71
6,8,T8,suited,54.15,38.45,30.52,25.56,22.11
6,9,J8,suited,55.71,39.14,30.75,25.58,22.01
6,10,Q8,suited,57.61,40.27,31.37,25.94,22.25
6,11,K8,suited,59.83,41.9,32.49,26.79,22.95
6,12,A8,suited,63.37,45.29,35.3,29.15,24.98
6,19,88,pair,69.6,50.45,38.09,29.96,24.5
6,20,98,offsuit,50.12,34.54,26.66,21.63,18.14
6,21,T8,offsuit,51.62,35.25,27.09,22.01,18.5
6,22,J8,offsuit,53.26,35.94,27.26,21.94,18.3
6,23,Q8,offsuit,55.26,37.08,27.83,22.23,18.43
6,24,K8,offsuit,57.6,38.75,28.92,23.01,19.04
6,25,A8,offsuit,61.37,42.31,31.82,25.39,21.06
7,8,T9,suited,55.67,40.4,32.54,27.48,23.89
7,9,J9,suited,57.21,41.1,32.78,27.52,23.82
7,10,Q9,suited,59.1,42.24,33.41,27.9,24.06
7,11,K9,suited,61.33,43.88,34.52,28.72,24.73
7,12,A9,suited,64.05,46.15,36.17,29.97,25.75
7,20,99,pair,72.44,54.07,41.62,33.07,27.11
7,21,T9,offsuit,53.24,37.36,29.27,24.1,20.45
7,22,J9,offsuit,54.86,38.05,29.45,24.05,20.27
7,23,Q9,offsuit,56.85,39.2,30.04,24.35,20.41
7,24,K9,offsuit,59.21,40.88,31.12,25.11,20.98
7,25,A9,offsuit,62.09,43.25,32.78,26.31,21.92
8,9,JT,suited,58.9,43.45,35.35,30.11,26.34
8,10,QT,suited,60.76,44.59,36,30.52,26.62
8,11,KT,suited,62.99,46.23,37.12,31.35,27.3
8,12,AT,suited,65.71,48.5,38.75,32.56,28.26
8,21,TT,pair,75.36,58.02,45.69,36.85,30.45
8,22,JT,offsuit,56.66,40.57,32.23,26.87,23.02
8,23,QT,offsuit,58.63,41.73,32.83,27.19,23.19
8,24,KT,offsuit,60.98,43.41,33.93,27.96,23.78
8,25,AT,offsuit,63.87,45.78,35.57,29.12,24.65
9,10,QJ,suited,61.44,45.54,37.03,31.54,27.57
9,11,KJ,suited,63.65,47.19,38.17,32.4,28.28
9,12,AJ,suited,66.38,49.48,39.83,33.64,29.28
9,22,JJ,pair,77.78,61.57,49.62,40.72,34.04
9,23,QJ,offsuit,59.36,42.75,33.96,28.32,24.26
9,24,KJ,offsuit,61.69,44.45,35.08,29.12,24.88
9,25,AJ,offsuit,64.59,46.83,36.75,30.31,25.79
10,11,KQ,suited,64.39,48.27,39.4,33.67,29.53
10,12,AQ,suited,67.1,50.56,41.08,34.94,30.56
10,23,QQ,pair,80.21,65.3,53.91,45.13,38.3
10,24,KQ,offsuit,62.47,45.61,36.42,30.52,26.26
10,25,AQ,offsuit,65.35,47.99,38.1,31.74,27.21
11,12,AK,suited,67.86,51.75,42.51,36.49,32.14
11,24,KK,pair,82.67,69.21,58.6,50.14,43.32
11,25,AK,offsuit,66.17,49.28,39.66,33.44,28.96
12,25,AA,pair,85.47,73.77,64.18,56.21,49.52
