0,13,2s 2h,1075695162,1021877238,2097572400
0,1,2s 3s,817526597,1280045803,2097572400
0,2,2s 4s,835667353,1261905047,2097572400
0,3,2s 5s,857300609,1240271791,2097572400
0,4,2s 6s,851655944,1245916456,2097572400
0,5,2s 7s,859474988,1238097412,2097572400
0,6,2s 8s,901367752,1196204648,2097572400
0,7,2s 9s,943286293,1154286107,2097572400
0,8,2s Ts,991259640,1106312760,2097572400
0,9,2s Js,1042048366,1055524034,2097572400
0,10,2s Qs,1098456803,999115597,2097572400
0,11,2s Ks,1160432686,937139714,2097572400
0,12,2s As,1245965095,851607305,2097572400
0,14,2s 3h,741848570,1355723830,2097572400
1,14,3s 3h,1144161058,953411342,2097572400
1,2,3s 4s,873851064,1223721336,2097572400
1,3,3s 5s,896361192,1201211208,2097572400
1,4,3s 6s,891204196,1206368204,2097572400
1,5,3s 7s,899340389,1198232011,2097572400
1,6,3s 8s,913985393,1183587007,2097572400
1,7,3s 9s,961454077,1136118323,2097572400
1,8,3s Ts,1009499703,1088072697,2097572400
1,9,3s Js,1060287113,1037285287,2097572400
1,10,3s Qs,1116616382,980956018,2097572400
1,11,3s Ks,1178435238,919137162,2097572400
1,12,3s As,1263920561,833651839,2097572400
0,15,2s 4h,761043182,1336529218,2097572400
1,15,3s 4h,801807156,1295765244,2097572400
2,15,4s 4h,1212168808,885403592,2097572400
2,3,4s 5s,933086714,1164485686,2097572400
2,4,4s 6s,929126896,1168445504,2097572400
2,5,4s 7s,937630049,1159942351,2097572400
2,6,4s 8s,952583192,1144989208,2097572400
2,7,4s 9s,973961785,1123610615,2097572400
2,8,4s Ts,1027375272,1070197128,2097572400
2,9,4s Js,1078170941,1019401459,2097572400
2,10,4s Qs,1134432319,963140081,2097572400
2,11,4s Ks,1196107127,901465273,2097572400
2,12,4s As,1281241446,816330954,2097572400
0,16,2s 5h,783977830,1313594570,2097572400
1,16,3s 5h,825700166,1271872234,2097572400
2,16,4s 5h,864949793,1232622607,2097572400
3,16,5s 5h,1279724844,817847556,2097572400
3,4,5s 6s,965556884,1132015516,2097572400
3,5,5s 7s,975099812,1122472588,2097572400
3,6,5s 8s,990404445,1107167955,2097572400
3,7,5s 9s,1012102606,1085469794,2097572400
3,8,5s Ts,1040757419,1056814981,2097572400
3,9,5s Js,1096682058,1000890342,2097572400
3,10,5s Qs,1152886839,944685561,2097572400
3,11,5s Ks,1214430594,883141806,2097572400
3,12,5s As,1299159618,798412782,2097572400
0,17,2s 6h,777604090,1319968310,2097572400
1,17,3s 6h,819846086,1277726314,2097572400
2,17,4s 6h,860381990,1237190410,2097572400
3,17,5s 6h,899351983,1198220417,2097572400
4,17,6s 6h,1339708434,757863966,2097572400
4,5,6s 7s,1007521631,1090050769,2097572400
4,6,6s 8s,1023383724,1074188676,2097572400
4,7,6s 9s,1045205569,1052366831,2097572400
4,8,6s Ts,1074140301,1023432099,2097572400
4,9,6s Js,1106879877,990692523,2097572400
4,10,6s Qs,1168040097,929532303,2097572400
4,11,6s Ks,1229674609,867897791,2097572400
4,12,6s As,1296036902,801535498,2097572400
0,18,2s 7h,785688001,1311884399,2097572400
1,18,3s 7h,828260093,1269312307,2097572400
2,18,4s 7h,869190518,1228381882,2097572400
3,18,5s 7h,909281977,1188290423,2097572400
